name,b_day,active,po
Janet Young,2021-10-29,yes,72
Michael Adams,1964-01-20,yes,97
Ricardo Lynn,1957-08-21,no,49
Phillip Hardin,1943-05-29,no,57
Wendy White,1913-10-05,no,6
Megan Rowland,1913-02-12,yes,40
Jodi Howell,1916-03-30,yes,35
Brian Fleming,2015-06-26,yes,71
Pamela Rasmussen,1908-03-07,no,27
Thomas Hood,1921-07-15,yes,41
Nicole Shields,2023-03-10,yes,11
Matthew Johnson,1984-07-21,yes,57
Jacqueline Williams,1958-03-12,no,63
John Fletcher,1962-12-11,no,9
Peggy Strickland,2008-01-20,yes,11
Douglas Baldwin,1983-09-06,yes,95
Daniel Yang,1964-01-22,no,60
Mrs. Jamie Johnson,1984-05-08,yes,71
Brandon Jordan,2023-07-11,no,50
Matthew Graham,1936-09-01,no,94
Laura Williams,1938-12-20,no,8
Justin Escobar,1926-10-13,yes,81
Jeff Adkins,1915-03-18,yes,100
Terri Robertson,1984-06-05,no,14
Parker Sanchez,1948-06-22,no,43
Melanie Stephens,2004-06-24,no,5
Nancy Ramirez,1964-06-21,yes,35
David Miller,1913-11-26,yes,88
Edward Orr,1922-03-06,no,1
Philip Lopez,1984-06-07,yes,18
Barbara Patel,1914-02-13,yes,81
Shirley Young,1976-07-10,yes,8
Diane Herrera,1921-10-20,no,59
Jeremy Lane,1953-10-23,yes,61
Lynn Brown,1962-10-22,yes,91
Kathleen West,1941-08-11,no,91
Jordan Brown,1958-12-23,yes,12
Jesse Fox,2010-09-13,no,20
Deborah Wall,1944-01-28,no,51
Amanda Cummings,1936-02-14,no,4
Ilya Tikhomirov,2008-04-24,no,99
Caleb Pratt,1987-12-02,no,76
Sherri James,1936-04-20,no,51
Kyle Dunn,1928-07-13,no,40
Joseph Kim,2019-05-01,no,53
Ilya Tikhomirov,1940-04-27,no,99
Chad Jones,2001-12-14,yes,49
Sarah Roberts,1930-03-15,yes,46
Vincent Morgan,1925-08-31,yes,39
Stacey Peterson,1916-01-20,no,22
Ebony Alexander,1985-04-28,no,21
Alyssa Lopez,2001-04-14,yes,50
Michelle Hood,2020-04-02,no,62
Noah Sullivan,1918-03-30,no,96
Jordan Stewart,1986-10-31,no,38
Kyle Hebert,1965-11-27,no,29
Jon Morales,2005-03-06,yes,16
Jacqueline Baker,1966-03-15,no,40
Holly Graham,1993-02-20,yes,74
Natalie Anderson,1945-12-25,no,48
Kelly Bridges,2010-02-21,no,71
Donald Clark,2022-08-24,no,9
Jeff Jennings,2010-11-15,yes,12
Troy Lopez,1941-03-10,yes,97
David Thompson,1995-01-09,no,42
Kim Benton DDS,1940-06-01,no,39
Ryan Kramer,2006-10-30,no,60
Michael Miller,1925-03-13,yes,75
April Kirk,1932-07-15,yes,14
Jennifer Harris,2000-03-17,no,39
Richard Brown,2000-12-31,yes,55
Sharon Williams,1956-12-15,no,60
Anna Carson,1958-10-20,yes,21
Monique Rodriguez,1952-02-14,no,83
Benjamin Hamilton,1977-01-04,no,27
Dr. Alexander Allen,2010-07-20,no,33
Melissa Watkins MD,1960-11-17,yes,69
Marcus Williams,1927-06-21,no,52
Amanda Ortega,1953-05-14,yes,92
Cassidy Evans,2003-07-02,yes,84
David Anderson,1987-03-10,yes,84
Lance Callahan,1977-06-06,no,87
Robert Williams,1955-05-24,no,47
Ralph Bates,1943-07-26,no,47
Carlos Ortega,1982-08-25,no,3
Richard Parker,2012-07-01,yes,73
Casey Schaefer,2006-02-20,no,27
Cheryl Phillips,1977-02-21,no,84
Yvonne Davis,2003-02-21,yes,9
Jodi Brown,2012-02-14,no,59
Patricia Anthony,1974-11-23,no,78
Keith Morgan,1961-09-10,yes,16
Kenneth Ramsey,2023-12-28,no,77
Ashley Murphy,1993-09-14,no,27
Patrick Edwards,2013-07-15,no,63
Joyce Bradford,2010-10-07,yes,6
Cody Lewis,1950-01-05,no,12
Joshua Lawrence,2016-10-09,yes,5
Nicholas Garrison,1918-09-03,no,62
Michael Brown,1983-06-26,yes,92
