name,b_day,active,po
Diana Hall,1930-09-13,no,35
Jimmy Cline,2014-01-17,yes,45
Kenneth Lyons,1950-08-04,no,47
David Harris,1965-02-27,no,45
Jennifer George,2001-01-13,no,88
Lori Perez,1982-03-29,no,5
Christine Coleman,1925-03-06,no,42
Willie Anderson,1941-06-30,yes,53
Heather Pearson,1962-02-13,yes,60
Marcus Lee,2002-08-24,yes,63
Rebecca King,1965-12-08,yes,67
Maria Santos,1944-12-04,no,93
Nicolas Mata,1911-08-30,yes,28
James Hunt,2011-07-16,yes,92
Ivan Butler,1937-09-03,no,96
James Rosario,1941-09-01,no,56
Cody Wilson,1968-05-29,no,94
Jon Merritt,1992-02-02,no,73
Paula Coleman,1983-06-24,no,88
Jodi Reyes,1955-07-15,no,96
Melanie Hernandez,1923-06-25,yes,16
Stacey Reyes,1936-05-31,yes,31
Lauren Wright,2013-03-24,no,94
Wendy Richard,2012-12-30,yes,52
Steven Saunders,1944-11-21,no,71
Benjamin Barron,1919-08-31,no,80
Ilya Tikhomirov,1988-01-05,yes,99
Wendy Kline,1958-09-28,yes,3
Wesley Lewis,1959-07-23,yes,86
Ryan Bates,1945-02-18,no,12
Sarah Davis,1977-07-13,yes,63
Kristen Rogers,2017-05-08,no,62
Jennifer Goodman,1988-10-04,yes,44
Laurie Hart,2008-12-27,no,79
Jennifer Brown DDS,1965-12-17,no,26
Joshua Gates,2000-05-01,no,96
Mrs. Andrea Gray,1911-05-31,yes,41
Jamie Hill,1998-02-25,no,91
Zachary Stafford,1915-09-28,yes,27
Aaron Kennedy,1961-03-04,yes,11
Johnny Jenkins,1979-01-08,yes,7
Morgan Johnson,1913-07-14,no,61
Mary Dean,1953-04-17,yes,2
Kenneth Mccullough,1946-05-29,no,63
Brian Thompson,1960-06-24,yes,85
Megan Reynolds,1997-07-29,yes,17
Jennifer Weber,1919-10-23,no,57
Angela Davis,2005-12-02,yes,63
Michael Costa,1963-09-13,yes,36
Michael Walker,1932-03-09,no,5
Leslie Shields,1976-09-09,no,49
Lindsey Pitts,1928-09-17,no,81
Kari Tran,1972-10-27,no,79
Paul Jones,1998-10-11,no,61
Crystal Russell,1996-03-23,yes,8
Paul Miller,1958-08-09,yes,82
Edward Jacobson,1991-11-14,no,53
Kathryn Rich,1924-10-24,no,21
Heather Klein,1998-09-17,yes,57
Shawn Gray,1980-12-26,yes,19
Phillip Cunningham,1914-04-14,yes,52
Michael Johnson,1981-09-26,yes,13
Travis Maxwell,2016-02-13,no,12
David Harris II,2012-02-16,no,29
Daniel Hall,2020-05-04,no,31
Paula Diaz,1957-07-03,yes,21
Allison Carlson,1938-01-09,no,38
Vicki Garcia,1944-07-24,no,27
Anne Lopez,1920-10-09,yes,82
Connie Moore,1946-08-10,no,73
Brandon Sellers,1989-03-19,yes,47
Christine Webster,1958-03-13,yes,45
Bryan Melendez,1935-06-01,no,13
Debbie Cantu,2023-02-06,yes,64
Dean Howell,1976-11-20,yes,4
Kelsey Johnson DDS,1913-10-01,yes,29
Kelly Gregory,1951-06-26,yes,94
Lisa Roberts,2023-03-24,no,18
Jeanette Sanders,1908-10-24,yes,66
Michelle Steele,2009-01-20,no,63
Stacy Steele,2004-04-27,no,98
Keith Ferrell,2019-03-07,yes,97
Roger Hart,1924-04-19,no,46
Thomas Jones,1928-04-28,yes,45
Rhonda Sherman,1922-12-14,yes,17
Mary Sheppard,1973-07-30,no,49
Adam Howard,1969-11-05,no,76
Patricia Thomas,2005-05-13,no,20
John Bush,1979-10-08,yes,90
Sean Brown,1943-09-09,no,52
David Hughes,2005-05-16,no,29
Brian Mason,2016-04-12,no,91
Brett Price,1988-06-08,yes,65
David Nichols,1955-10-29,yes,56
Mark Bryan,1995-03-18,yes,65
Shelly Parker,1997-01-10,yes,15
Katie Horton,1967-09-12,yes,63
Kimberly Lopez,1946-07-29,yes,24
Kimberly Johnson PhD,1990-05-28,no,84
James Peters,2006-04-24,no,100
