name,b_day,active,po
Ryan Thornton,1981-12-31,yes,74
Tammy Lopez,1917-06-28,no,50
Brent Lopez,1973-10-15,no,51
Debra Garza,1927-10-06,yes,48
Mark Reilly DDS,2014-03-07,yes,59
Thomas Watson,1999-10-17,yes,54
Alec Martin,2024-01-03,yes,7
Karen James,1957-02-21,no,96
Nathan Johnson,1920-07-11,no,20
Jennifer Christensen,1923-02-14,yes,20
Benjamin Ramirez,1986-06-29,no,6
Andrew Young,1948-05-02,yes,65
Robert Stewart,2014-07-30,no,18
Gregory Warner,1967-12-22,yes,19
Justin Pace,1913-04-10,yes,48
Taylor Koch,1959-09-15,no,94
Richard Vega,2010-07-25,no,42
Troy Sullivan,2005-07-05,no,62
Christina Wilkins,1922-05-19,yes,53
Sylvia Moore,1997-07-14,yes,87
Tammy Hale,2004-08-08,no,9
Jessica Marks,1995-04-06,no,40
Sheila Jones,1914-10-02,no,37
Matthew Green,1910-04-25,no,93
Phillip Brown,1986-07-01,no,62
Jessica Nixon,1980-12-17,yes,3
Jacqueline Hill,1977-10-13,no,9
Amanda Rivera,2016-05-13,no,54
Michael Roberts,1909-08-15,yes,85
Alexander Benjamin,1950-07-01,no,18
Sharon Butler,1984-02-21,yes,90
Amy Rodgers,1911-04-01,yes,4
Thomas Chapman,1938-04-07,no,27
James Harris,1920-11-27,no,29
Shawn Green,1972-06-12,yes,60
Michael Spencer,1975-06-01,no,76
Victoria Esparza,1971-12-15,no,19
Christopher Frank,1999-01-26,no,80
Derek Mcdaniel,1927-01-10,yes,73
Melinda Dennis,1962-10-18,yes,41
Melinda Hall,1961-01-31,yes,19
Stephen Smith,2006-07-14,yes,36
Christopher Holmes,1984-05-02,no,39
Daniel Bell,1951-11-14,no,74
Allen Hopkins,2023-08-20,no,27
Jessica Ritter,1997-05-07,no,84
Brad Boyd,1957-03-27,yes,14
Joshua Hamilton,1950-09-12,no,18
Christina Williams,1975-07-15,no,37
Jason Miller,1925-03-18,no,78
Emily Tucker,1980-02-10,no,66
Joshua Carson,2003-08-30,no,43
Francisco Ramos,1969-03-30,no,2
Tracy Webb,1919-10-23,yes,66
Michelle Price,2004-09-01,no,79
Jose Hall,1953-09-16,no,59
Mark Brown,1944-09-21,yes,67
Steve Patel,2023-05-06,no,69
Misty Scott,1957-05-17,no,47
Daniel Floyd,1940-01-10,no,86
Toni Bush,2009-04-01,yes,96
Ashley Ritter,1944-04-20,no,94
Sean Medina,2014-08-03,no,46
Joshua Wilson,1948-08-16,no,64
Kristina Marshall,1941-01-05,yes,76
Christopher Hines,1987-07-05,yes,21
Justin Morris,1958-10-14,no,96
Melissa Frost,1985-08-27,no,27
Monica Walker,1944-02-09,no,23
Sean Obrien,1996-03-13,no,86
Robert Sellers,2002-07-02,no,27
Danny Barr,1989-04-11,yes,19
James Hudson,1995-03-29,yes,66
Jacob Nguyen,1942-04-08,no,71
Eric Chandler,1913-01-27,yes,50
April Nelson,2011-03-02,no,73
Tiffany Daniels,1974-01-05,no,80
Laura Long,2002-06-08,yes,40
Margaret Walker,1918-05-14,no,86
Caroline Ramirez,1961-11-07,no,73
Katherine Johnson,1989-03-07,no,89
Kenneth Williams,1969-06-29,no,15
Richard Jacobson,1976-03-18,no,69
Mrs. Charlene Perry DDS,2015-03-08,no,42
Angela Hunter,1963-04-07,no,8
Devin Reed,1958-06-29,yes,65
Antonio Miller,2008-03-02,no,62
Samantha Choi,1949-12-02,no,47
Joseph Cross,2009-01-20,yes,39
Cody Levy,1961-09-09,no,37
Andrew Haynes,1965-11-07,yes,28
Janet Parsons,1968-02-06,no,65
Matthew Fitzpatrick,2004-07-18,yes,32
Julia Poole,1972-03-04,no,52
Craig Bryant,1962-08-01,yes,47
Robert Guerrero,1934-10-27,no,5
Jennifer Wilson,1997-09-21,yes,10
Rachel Arellano,1951-11-24,no,44
Ronald Patton,2023-10-10,yes,40
Michelle Knapp,2002-09-26,no,54
