name,b_day,active,po
Susan Rogers,1908-04-08,yes,60
Taylor Weber,1980-05-16,yes,4
Michael Parker,1983-06-06,no,29
Kimberly Lambert,1955-06-28,yes,50
Michael Allen,1981-11-27,yes,89
Gary Chapman,1992-10-08,yes,39
Kathleen Jones,2009-08-21,no,66
Robert Sanchez,1929-02-01,yes,29
Lori Carroll,2010-02-05,no,14
Melissa Harrington,2014-04-26,no,33
Courtney Wolfe,1992-07-25,no,1
Anthony Stanley,1985-11-18,yes,72
Jeremy Alexander,1942-03-13,no,68
Aaron Salinas,1952-10-01,no,1
Matthew Taylor,1924-06-01,yes,47
Kevin Baker,1969-08-30,no,43
Megan Murray,1959-11-23,no,68
Kimberly Arnold,1948-10-10,no,17
Lori Hicks,1949-11-27,yes,84
Jasmine Barnes,1962-12-11,yes,28
Michelle Espinoza,1998-07-23,no,14
Jennifer Mcdonald,1933-11-27,no,8
Alan House,1935-10-05,yes,16
Laura Sanford,1991-07-15,yes,76
Kathy Henson,1941-07-09,no,61
Ian Roberson,2019-09-14,yes,72
Kayla Smith,2008-10-29,yes,30
Thomas Douglas,2019-02-28,no,78
Lauren Nelson,1986-10-08,no,63
Mr. Richard Jacobs,1930-07-25,no,50
Carrie Espinoza,1984-07-26,no,13
James Mills,1995-12-22,yes,94
Jacqueline Oliver,1933-10-15,yes,88
Victoria Reynolds,2020-05-29,no,11
Tina Cunningham,2003-07-09,yes,93
Veronica Nelson,2017-08-22,yes,72
Kelly Nash,1975-06-04,yes,75
Mr. Michael Vaughn,1918-10-19,no,65
Ashley Patterson,2019-03-04,yes,38
Lucas Sutton,1982-09-19,yes,56
Kenneth Adams,1977-05-07,no,80
Kelly Carter,1930-07-01,yes,35
Christina Watts,1937-11-20,yes,57
Timothy Lowe,1963-04-02,no,60
Jessica Pruitt MD,1937-11-22,no,96
Steve Lowe,1946-11-28,yes,85
Mark Shaw,1914-03-29,no,65
Alison Alvarez,1935-07-30,yes,76
Elizabeth Riley,2012-09-29,no,48
Alison Greene,1928-01-29,no,96
Nicole Vasquez,1959-07-19,no,70
Dave Wagner,2012-05-11,yes,40
Alexis Wong MD,2016-06-08,no,55
Oscar Kidd,1968-02-18,no,32
Lisa Barber,1989-01-03,no,2
Eric Brooks,1919-02-14,no,34
James Palmer,1950-12-17,yes,77
Johnny Mccormick,1975-03-28,no,59
Shelby Romero,1995-05-20,yes,84
Michael Bond,1932-08-21,no,31
Emily Macdonald,1969-08-08,no,83
Brenda Cooper,1978-05-28,no,80
Mr. Erik Miller,1973-08-24,no,19
Jamie Hamilton MD,1913-08-01,yes,43
Matthew Grimes,1993-09-05,no,43
Jeanette Brown,1959-02-27,yes,50
Ilya Tikhomirov,1915-12-31,no,99
Ryan Mendoza,1964-08-08,yes,8
Debra Murray,1996-02-24,no,93
Debbie Brooks,1937-06-14,no,13
Nathan Johnson,1964-01-22,no,20
Lisa Harris,1973-03-06,yes,6
Kimberly Obrien,1943-05-12,no,8
Eric Brown,1959-03-08,yes,84
George Davis,1929-09-28,no,22
Christopher Weaver,2019-06-17,yes,35
Mr. Ross Wells DVM,1926-03-14,no,18
Justin Medina,1994-11-26,no,25
Shane Shaffer,1987-01-24,no,86
Austin Smith,2015-10-11,yes,68
Jay Odonnell,1988-12-22,yes,70
Scott Brown,2010-12-03,no,7
Robert Dixon,2021-08-28,yes,77
Andrea Johnson DVM,1927-09-13,yes,80
Stephanie Lang,1941-10-15,yes,16
Becky Crane,1995-12-22,yes,46
Eric Hill,1948-12-07,no,100
Tasha Young,1971-10-10,yes,37
Stacy Long,1961-07-26,yes,17
Raymond Rich,1974-05-22,yes,51
Melissa Walters,1914-03-23,yes,51
Catherine Freeman,1947-11-13,yes,24
Marc Schaefer,1952-12-03,no,81
Shawn Rodriguez,1954-12-19,yes,92
Lauren Ray,1973-01-28,no,1
Stephanie Le,2008-01-28,yes,15
Megan Miller,1953-11-20,no,79
David Rocha,1947-03-17,no,60
John Daniels,1968-08-19,yes,41
Phyllis Barnes,2024-01-18,yes,52
