name,b_day,active,po
Ilya Tikhomirov,1921-08-17,yes,99
Stephanie Ramirez,1912-06-19,no,25
Cheryl Simmons,1985-07-14,yes,85
Beth Carter,1941-05-16,yes,17
Tyler Douglas,1974-09-18,no,70
Bobby Harrison,1982-05-07,yes,97
April Sellers,1933-03-25,yes,34
Nancy Montgomery,1924-10-15,no,88
John Osborn,1992-04-15,yes,35
Barbara Martin,1991-05-08,no,49
David Dunlap,1979-05-16,no,40
Philip Goodwin,1915-04-09,no,94
Makayla King,2008-02-05,yes,27
Jesse Mcguire,1953-06-25,yes,42
Michelle Banks,1986-07-09,yes,19
Donald Smith,2009-08-06,no,73
Bradley Patterson,1977-06-03,yes,27
Brandon Moore,1992-08-01,no,55
Robert Martin,1947-05-28,yes,4
Tyler Watson,1948-11-23,yes,52
Elizabeth Nguyen,1987-06-13,yes,77
Jason Spence,1994-12-13,no,11
Jack Carter,1973-02-06,yes,59
Nicole Wall,1926-06-14,no,3
Matthew Tate,1946-06-27,yes,70
Christina Medina,1928-05-16,no,33
Amber Bradley,1942-12-17,no,1
Michele Stewart,1977-09-19,yes,22
Matthew Hodges,1951-11-09,yes,74
Ashley Dudley,1939-02-28,no,50
Sean Lee,1953-07-02,yes,15
Michael Hutchinson,2000-12-16,no,67
Brandy Raymond,1939-03-08,no,18
Ralph White,1951-02-07,yes,64
Mrs. Joanna Choi,1984-08-23,no,43
Brandon Smith,1932-01-02,no,80
Sean Mcclure,1932-10-17,no,89
Timothy Brown,1980-04-24,yes,96
Joseph Pratt,1924-10-28,no,40
Christopher Perez,1941-01-18,no,32
Heather Carter,1954-05-15,no,38
Oscar Ross,1957-01-23,no,38
Christopher Mcmahon,2002-04-25,no,14
Lori Powell,1963-05-13,yes,86
Laura Kelly,1931-08-27,no,20
Ilya Tikhomirov,2017-03-18,yes,99
Anthony Johnson,1962-01-13,no,69
Amber Scott,1963-12-29,yes,33
Christine Castro,1929-01-11,yes,45
Nathan Acosta,1939-12-30,yes,9
Cory Adams,1967-01-06,no,21
Deborah Hurley,1998-06-13,no,70
David Flowers,1978-02-27,no,29
Jason Hernandez,1928-11-20,yes,40
William Mcdonald,1971-12-28,yes,61
Laura Baker,2011-03-22,no,77
Linda Arnold,1916-06-26,no,58
Rachel Barton,1969-10-29,no,55
Tara Johnson,1988-04-05,no,56
James Henderson,1964-05-05,yes,52
Lisa Little,1969-02-01,no,66
Timothy Mora,2013-12-08,yes,21
Dean Henderson,1962-06-25,yes,74
Danny Mcclure,1938-03-29,no,38
Mrs. Jennifer Gallagher,1948-09-26,yes,80
Miranda Rodriguez,1984-09-30,yes,24
Christopher Norton,2004-01-30,no,34
Charles Brown,1937-01-27,yes,9
Erin Lozano,1926-06-12,no,61
Tracey Richardson,1923-06-23,no,72
Jerry Anderson,2016-09-13,yes,60
Phillip Mcgee,1972-05-16,no,43
Tamara Harris,1963-07-30,yes,54
Janice Ramirez,1977-04-23,no,75
Valerie Terrell,1969-02-17,yes,44
Aaron Johnston,1969-05-20,yes,25
Eric Munoz,1988-12-09,no,85
Lori Berry,1917-05-17,yes,34
Christine Harris,1953-05-01,no,12
Gerald Aguilar,1923-04-21,no,83
Vincent Pierce,1940-04-22,yes,89
Jessica Aguilar,1966-03-20,yes,21
Terry Mullins,1917-08-06,no,22
Erin Meyer,1943-02-22,yes,23
Robert Lane,2019-01-26,no,16
John Santos,1925-09-15,yes,71
Patrick White,1960-08-18,no,6
Mr. Kevin Harrington,1909-08-23,yes,23
Alexandra Vance,2015-06-14,no,40
Carolyn Stokes DDS,1994-05-08,no,84
Keith Wilson,1953-10-01,no,77
Ms. Jacqueline Ruiz,1987-02-27,no,81
Donna Schwartz,1908-05-20,yes,76
Brandon Clark,1908-11-14,no,88
Jessica Dudley,1965-10-28,yes,32
James Berry,1958-02-06,no,44
Edward Figueroa,1965-12-03,no,1
Sarah Graham,1970-04-02,no,96
Paul Phillips,1909-02-25,yes,50
Laura Freeman,1918-01-24,no,8
