name,b_day,active,po
Gary Atkins,2011-11-24,yes,4
Carol Love,1990-01-29,yes,43
Erica Freeman,2003-03-07,yes,50
Andrea Gonzales,1958-03-18,no,1
Barbara Ware,1945-11-07,yes,54
Douglas Velez,2019-01-21,yes,76
Wanda Dawson,1939-08-31,yes,4
Shari Reynolds,1913-12-29,no,12
Craig Parsons,1974-11-13,yes,24
Shelley Norris,1991-07-25,yes,21
Jeremy Warner,1979-02-05,yes,31
Melanie Johnson,1989-11-21,no,76
Lawrence Cordova,2022-04-14,no,53
Jerry Fuller,1996-10-05,no,36
Meagan Blair,1946-10-28,yes,77
Gregory Turner,1945-05-02,no,76
Mark Duncan,1923-06-19,no,19
Brian Garcia,2015-02-23,yes,40
Casey Craig,1937-12-02,yes,26
Sandra Grant,1947-05-13,no,20
Misty Russo,1980-06-09,yes,15
Brandon Lowe,1961-11-21,yes,78
Alexis Preston,1929-03-28,no,34
Nicholas Mccarthy,1909-01-11,yes,43
Tiffany Robinson,2002-06-03,yes,10
David Moore,1924-04-16,yes,70
William Thompson,1934-05-03,no,54
Tiffany Warren,1936-07-26,yes,12
Pedro Gray,1949-11-06,yes,91
Matthew Foster,1945-05-01,no,24
George Walker,1919-05-05,no,80
Tammy Shea,1985-04-07,no,32
Anthony Brown,1968-01-30,yes,54
Jeanette Rodriguez,1980-07-28,no,80
Cynthia Boone,1941-08-20,no,42
Stephen Jackson,1928-09-19,yes,23
James Davenport,1954-04-23,yes,60
Ann Holt,1976-05-02,yes,96
Donald Carter,1986-05-09,yes,23
Dawn Mckinney,1925-05-19,no,16
Brittany King,1994-09-01,no,76
Jennifer Jones,2006-03-03,no,36
David Berry,1913-11-27,no,76
John Butler,1990-06-28,no,61
Christina Marshall,1924-04-30,yes,15
Micheal Mason,1928-07-23,no,83
Amy Johnson,1977-06-14,no,75
Barbara Alexander,1928-11-23,no,12
Stacy Hernandez,2015-07-06,no,60
Tina Ramirez,2000-12-22,no,60
Kevin Williams,1951-06-08,no,55
Angela Erickson,2000-02-04,yes,31
April Fuller,1939-07-18,no,73
Stephen Whitehead,1978-03-14,yes,1
Heather Hicks,1990-12-28,no,86
Jacob Stein,1917-10-04,yes,78
Michele Vega,1969-02-03,no,34
Jamie Butler,1970-08-27,no,19
Eric Robinson,1974-09-16,no,1
Ariel Thomas,1953-06-27,yes,85
Monica Burton,1999-06-15,no,15
Reginald Lee,1984-01-24,no,64
Thomas Gregory,1997-08-05,no,95
Vincent Lucas,1933-12-06,no,97
Andrew Stephens,1986-04-12,no,7
Kristina Ramirez,1986-10-26,yes,81
Carmen Nelson,1976-01-29,no,56
Theresa Hughes,1999-07-10,yes,23
Clayton Clayton,1925-08-21,yes,90
Pamela Ingram,2006-04-01,yes,33
Katherine Wilcox,1951-02-23,yes,70
David Glass,1991-03-19,yes,2
Timothy Evans,2003-04-05,no,55
Edward Wright,1946-10-22,no,28
Adam Tran,1923-11-22,yes,36
Emily Weaver,2006-03-17,no,70
Tony Mitchell,2023-09-27,yes,55
Elizabeth Foster,1976-08-13,yes,9
Nancy Hamilton,1974-04-07,yes,16
Marcus Fischer,1958-03-18,no,62
Mercedes Johnson,1918-06-01,yes,41
Michael Torres,1923-08-06,yes,13
Carrie Torres,2001-03-30,yes,81
Dominique Bishop,1971-07-25,no,98
Amber Phillips,2009-02-13,yes,81
Thomas Thompson,2005-03-05,yes,47
Eric Jones,2016-10-30,no,73
Michael Brown,1922-05-25,yes,54
Cynthia Hicks,1930-12-31,no,67
Charles Fleming,1969-05-19,no,25
Ronald Burke,1933-10-24,no,80
Joseph Hernandez,1908-10-30,no,27
Kari Moran,1980-03-12,yes,10
Gabrielle Reed,1969-07-25,no,1
Hannah Little,1956-04-08,yes,54
Anthony Aguilar,1924-10-16,yes,57
Shelby Irwin,1978-05-22,no,93
Natalie Smith,1934-05-18,no,95
Brandon Walton PhD,1998-10-06,no,92
Mary Campbell MD,1911-08-03,yes,82
