name,b_day,active,po
Ryan Archer,2002-04-22,no,20
Cathy Miller,1998-07-03,yes,42
Mrs. Tiffany Rivera,1915-01-14,no,32
Christy Kaiser,1994-12-30,no,79
James Long,2000-11-04,no,68
Jared Collier,1950-02-11,no,21
Amanda Werner,1933-11-04,yes,57
Willie Richard,2002-10-16,no,22
Ashley Rose,1997-12-14,yes,36
Larry Gardner,2020-01-15,yes,9
Tyler Powell,1994-11-04,yes,44
Sandra Nolan,1979-03-08,no,19
Angela Patrick,1955-01-30,no,6
Natalie Wilson MD,1974-07-18,no,81
Jose Barrett,1909-07-20,yes,93
Kenneth Austin,1953-04-16,yes,93
Alexandra Wells,2009-05-05,no,79
Jacqueline Alexander,1994-10-21,yes,77
Kimberly Mcdonald,1924-08-10,no,59
Tracy Foster,1967-08-28,no,48
Amanda Turner,1958-01-31,no,90
Lauren Torres,1933-10-25,yes,65
Autumn Robinson,1997-10-04,yes,93
Olivia Hill,1923-04-03,yes,22
Brandon Rivera,1977-07-04,no,26
Robert Terry,1984-01-16,yes,58
Jason Newman,1988-10-14,no,93
Krista Boyd,1931-11-01,no,39
Allen Bryan,1959-01-21,no,24
Ronald Bailey,1970-11-03,yes,31
Dennis Sanchez,1993-10-05,yes,3
Tammy Hayes,1953-08-26,no,62
Melissa Lee,2021-06-30,yes,12
Larry Leon,1926-12-22,no,14
Paul Castillo,2022-10-20,no,38
Sue Simon,1988-08-23,yes,11
Tammy Booker,2018-08-17,yes,41
Kerri Johnson,1924-09-06,yes,65
Robert Rosario,1977-05-13,no,11
Ronald Chase,1992-01-02,yes,94
Brian Schmidt,1978-06-23,no,94
Kelly Tucker,1995-05-27,no,18
Heather Escobar,1998-04-02,yes,46
Linda Robinson,1956-10-11,no,16
Jamie Jacobson,1946-11-23,yes,73
James Coleman,2005-12-02,yes,66
Sean Mcdaniel,2007-11-09,yes,63
Michael Harris,1976-07-19,yes,100
Stacey May,2003-01-28,no,67
Rachel Cain,1921-08-12,no,3
James Jones,1933-06-06,yes,22
Billy Smith,1934-07-05,yes,57
Jason Dickerson,2018-03-14,no,24
William Garza,1922-05-15,no,2
Jason Carter,1960-10-01,yes,21
Eddie Valentine,1965-04-02,yes,85
Matthew Diaz,1948-12-20,no,20
Kevin Koch MD,1957-05-11,yes,52
Adam Huerta,1970-04-12,no,96
Anna Mcdaniel,1909-04-23,no,11
Audrey Wagner,1984-07-11,yes,69
Daniel Mann,1999-06-21,yes,56
Megan Schmidt,1909-03-29,yes,50
Mason Gibson,1936-08-04,no,19
Catherine Williams,1931-12-08,yes,12
Joseph Warren,1990-02-04,yes,68
Ann Adams,1933-02-02,yes,87
Ann Hahn,2011-11-06,no,93
James Brown,1919-08-02,no,37
Heather Horne,2015-04-26,yes,27
Jeffrey Perez,2019-08-22,yes,100
John Ortiz,1976-09-26,no,19
Kevin Chapman,1993-02-23,yes,1
Ian Hayden,1972-05-09,no,19
Mark Harvey,1968-09-24,yes,96
Jeffery Webb,1948-01-15,yes,62
Ricardo Cruz,1927-02-20,yes,16
Suzanne Avila,1991-06-13,yes,14
Melissa White,1950-08-09,no,22
William Lewis,1984-09-22,no,5
Latasha Reed,1961-08-20,no,43
Nicole Cook,2008-07-26,no,65
Ann Miller,1954-03-05,yes,34
Kevin Chang,1975-05-08,yes,96
Christopher Andrews,1919-10-04,no,72
Robin Roberson,1992-01-17,no,59
Brett Cole,1924-08-19,yes,76
Mr. Bobby Daniels,1937-09-24,no,72
Kyle Chan,1920-09-29,no,36
William Forbes,1948-06-20,no,48
Anna Little,1972-12-12,no,47
Edward Garcia,1911-07-05,no,78
Tina Davis,1942-12-08,yes,35
Gregory Brown Jr.,1968-01-17,yes,35
Tina Valdez,1927-11-03,yes,21
Susan Sweeney,1980-11-20,yes,18
Luke Solomon,1952-03-22,yes,61
Stephanie Rhodes,1925-08-03,yes,22
Shelly Sutton,1989-01-21,yes,89
Joseph Foster,1981-09-15,yes,3
