name,b_day,active,po
Nicole Estrada,1984-08-04,yes,92
Ronald Bishop,2011-05-11,no,41
Marie Ramirez,2015-04-30,no,26
Joe Mercado,1963-11-24,no,74
Jose Hendricks,1998-11-16,no,11
Jessica Thompson,2023-06-23,yes,83
James Robinson,1948-07-22,yes,72
Nicholas Taylor,2018-02-06,no,8
Brian Johnson,1922-06-05,yes,64
Tammy Morgan,2011-02-16,no,72
Gary Chapman MD,1946-10-08,yes,100
Rebecca Peterson,1912-07-28,yes,26
Larry Parker,2016-11-03,no,92
Ilya Tikhomirov,2010-03-22,yes,99
Caitlin Soto,1956-10-12,yes,35
Karl White,1936-08-10,no,68
Shane Nguyen,1961-01-24,no,1
Kathryn Payne,1964-10-19,yes,6
Emily Reeves,1998-11-03,no,94
Benjamin Johnson,1911-08-03,no,46
Robert Warren,1995-05-12,yes,52
Maria Leach,1934-07-03,yes,59
Brett Sullivan,1949-06-15,yes,92
Sarah Simmons,1994-11-27,yes,45
Michelle Young,1985-11-13,yes,75
Elizabeth Wallace,2013-08-01,yes,46
David Herrera,2003-08-23,no,60
Allen Martin,2020-03-05,no,1
Raymond Rodriguez,1998-03-25,no,76
David Clark,1968-01-21,no,12
Sherri Smith,2016-03-16,yes,25
Maria Pope,1997-11-27,no,86
Stacy Johnston,1926-08-16,yes,55
Dr. Kristopher Rose,1981-08-06,yes,80
Stacy Torres,2004-09-04,no,82
Maureen Camacho,1964-11-21,no,62
Stacey Robinson,2013-02-15,yes,23
Denise Brown,2005-02-12,yes,32
Jonathan Jackson,1993-05-24,no,44
Raymond Ramirez,1984-06-26,yes,50
Tiffany Hanson,1966-03-28,yes,63
William Foley,2001-11-02,no,1
Ilya Tikhomirov,1933-05-06,no,99
Robert Martin,1934-12-13,no,35
Stephen Diaz,2023-10-26,no,37
Jo Robinson,1962-08-07,yes,65
Andrea Watkins,2021-11-02,yes,40
Jimmy Mann MD,1997-10-03,yes,19
Jose Reed,1909-11-08,no,6
William Weaver,1943-11-06,no,41
Kelsey Orr,1957-04-10,no,63
Matthew Taylor,1944-10-21,no,22
Wendy Johnson MD,2016-03-05,yes,22
Diana Garcia,1981-09-06,yes,61
Anthony Hodge,1921-01-28,yes,59
Andrew Bennett,1948-10-05,no,59
Justin Williams,1930-03-22,no,37
Matthew Perry,1995-09-29,no,8
Ross Steele,1996-08-18,no,41
David Weeks,1951-02-13,no,31
Eileen Patrick,1920-04-01,no,70
Matthew Petersen,1941-02-12,yes,36
Sherry Alvarado,2007-05-26,no,92
Daniel Thompson,1967-07-04,no,3
Jordan Peterson,2016-01-19,yes,21
Matthew Coleman,1933-07-13,yes,58
Brandon Hernandez,2012-06-28,yes,54
Erika Watson,1921-04-08,no,34
Rose Weber,1972-12-07,no,29
Paula Williams,1919-02-07,no,97
April Lewis,1974-02-23,no,74
Rebecca Terrell,1993-05-22,no,87
Michelle Campbell,1974-09-16,no,82
Richard Castillo,1975-04-15,yes,79
Holly Mckay,1988-08-30,yes,33
Tammy Fernandez,1959-10-02,no,32
Melissa White,2017-03-19,yes,7
Kevin Nguyen,2000-01-31,yes,33
Joshua Smith,1998-10-21,no,52
Kenneth Hodges,1921-04-27,yes,38
Stacy Dillon,1974-10-10,no,52
Alexander Barajas,1925-02-18,no,68
Dawn Boyd,1992-03-07,yes,55
Angela Young,1933-05-02,no,66
Ms. Kayla Mueller,2009-10-28,no,95
Jacqueline Wright,1977-12-17,no,37
Teresa Levy,1947-01-20,no,18
Julia Weeks,2000-11-03,yes,46
Jesse Powell,1931-07-20,yes,87
William Brown,1982-09-03,yes,13
Robert Hawkins,1944-03-08,yes,73
Ann Robertson,1924-08-12,yes,24
Paul King,1915-08-15,no,12
Brooke Pearson,1941-01-30,yes,1
Jay Smith,1975-05-02,yes,7
Michael Benson,1909-06-04,yes,48
Sean Conley,1982-07-31,no,9
Melissa Jackson PhD,1997-02-01,no,17
Mark Rogers,1934-02-05,no,86
Cheryl Farrell,1964-08-19,no,27
