name,b_day,active,po
Adam Carroll,1954-05-03,no,1
Gina Bautista,1977-07-28,no,43
Sarah York,2021-06-15,no,23
Natasha Bryant,1946-12-25,no,34
Corey Christian,1995-06-14,yes,100
Madeline Ochoa MD,1970-02-14,yes,39
Matthew Murray,1995-08-24,yes,20
Craig Ellis,1926-01-05,yes,34
Amanda Goodwin,1992-04-20,yes,62
Alyssa Moreno,1930-12-23,no,24
Ilya Tikhomirov,1937-09-23,no,99
Michelle Sullivan,1961-07-22,yes,20
Jill Jones,1967-02-25,yes,90
Timothy Hines,2008-02-18,yes,66
Ilya Tikhomirov,1938-03-11,yes,99
Douglas Hunter,2011-07-11,no,43
Deborah Rodriguez,1944-06-02,yes,20
Patricia Thomas,1985-10-30,yes,27
Abigail Harvey,1962-07-25,yes,21
Linda Mendoza,1915-06-01,no,12
Cathy Thompson,1996-07-18,no,32
Erin Peterson,1954-03-21,no,91
Jonathan Gonzalez,1912-11-09,yes,59
Joseph Cole,1968-03-21,no,37
Nathan Jones,1923-09-03,yes,62
Michelle Banks,1908-10-18,no,84
Michelle Barron,2005-10-24,yes,75
Nicole Durham,1937-04-06,yes,62
David Summers,1921-12-22,yes,76
Austin Brock,1993-11-28,yes,73
Samuel Smith,1975-12-05,yes,57
Abigail Suarez,1955-09-12,no,89
Peter Hobbs,1931-03-19,no,72
Andrea Payne,1944-12-08,no,65
Kenneth Parrish,1998-02-22,no,70
Melissa Smith,2010-04-29,yes,28
Alexander Burns,1998-01-03,yes,35
Tom Wright,2012-05-29,no,91
Emma Campbell,2021-04-05,no,25
Nicolas Mack,1985-12-26,yes,34
Wesley Ball,1992-11-17,yes,64
Perry Strickland,1949-11-17,no,26
Matthew Phillips,1999-11-13,no,11
Barbara Oconnor,1946-04-13,yes,33
Karen Anderson,1959-11-19,yes,73
Meredith Estes,2000-05-12,yes,67
Mark Rodriguez,2017-08-07,no,6
Melissa Johnson,1975-01-18,no,54
Sheri Fritz,1910-06-29,no,20
Antonio Olsen,2023-08-29,no,38
Scott Powers,1959-09-26,yes,13
Anthony Gillespie,2014-01-17,no,77
Alyssa Santos,1984-09-15,yes,100
Tyler Quinn,1939-04-07,no,58
Jenna Brewer,1951-11-22,yes,88
Jermaine Pierce,2009-06-19,no,21
Olivia Lynch,2011-02-04,yes,76
David Cruz,2014-03-19,no,16
Nicole Richardson,2023-12-02,no,11
Christian Hill,1919-12-13,no,40
Barbara Stuart,1950-10-28,yes,62
Morgan Johnson,1949-05-09,no,6
Samuel Martinez DDS,1955-03-21,no,48
Carla Powers,1909-02-09,yes,35
Patricia Miranda,2011-06-16,no,77
Andrea Wilson,1950-03-20,yes,60
Eddie Mcdonald,1914-12-05,no,78
Joshua Jackson,1982-10-21,no,22
Matthew Long,1977-05-05,yes,97
Dawn Collins,1956-05-27,yes,72
William Smith,1982-07-26,yes,82
Heather Goodwin,1923-06-27,no,92
Roger Baldwin,1973-05-27,yes,7
Keith Perez,1955-12-15,no,98
Michaela Payne,1947-05-05,no,72
Joy King,2008-07-28,no,54
Gregory Sanders,1983-12-21,no,46
Joe Mitchell,1933-09-09,yes,62
Ilya Tikhomirov,2003-04-28,no,99
Ruben Ryan,1927-07-05,no,14
Joshua Rubio,1920-04-25,yes,94
Emily Parks,1967-05-26,no,28
Johnathan Roberts,2018-12-01,yes,21
Daniel Murray,1971-03-29,no,35
Kevin Lee,1914-02-24,yes,30
Victoria Conway,1987-09-04,yes,8
Albert George,1914-03-19,no,19
Karla Davis,2014-06-30,yes,61
Jennifer Carpenter,2021-07-26,no,40
Erica Gutierrez,1956-04-25,yes,61
Erika Cruz,1985-03-07,no,83
Ryan Simmons,1951-10-03,no,27
Christopher Perez,1947-10-31,yes,51
Michelle Williams,2012-11-28,no,95
Adam Schroeder,2008-04-09,no,21
Maria Blackwell,1970-04-24,yes,37
Mary Valentine,1925-10-05,yes,50
Wendy Scott,1959-08-10,yes,82
Jason Farrell,1975-02-12,no,43
Andrew Acosta,1981-06-23,no,11
